registration number,registration date,application number,application date,authors,authors count,right holders,contact to third parties,program name,creation year,registration publish date,registration publish number,actual,publication URL
980636,19981022,0000980510,19980826,"Артельных Игорь Валерьевич  (RU)
Псиола Виктор Вадимович  (RU)
Парахин Михаил Валерьевич  (RU)
Хаменя Валерий Анатольевич  (RU)
Хаменя Инна Дмитриевна  (RU)
Яфраков Михаил Федорович  (RU)",6,Акционерное общество Научно-технический центр «Модуль» (RU),"тел. 273-31-97, Андрущак Г.Н.","""Кластеризация наблюдений""",,19990320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=980636
980711,19981210,0000980653,19981126,"Бахрах Максим Моисеевич (RU)
Буряченко Ренат Николаевич (RU)
Лепихов Андрей Юрьевич (RU)
Шибаев Игорь Валерьевич (RU)",4,"Закрытое акционерное общество ""Группа Компаний Старт"" (RU)",,,,19990320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=980711
990038,19990202,0000980660,19981202,,6,"Акционерное общество ""Комита"" (RU)",8(812)528-34-66,"Система передачи конфиденциальной информации ""КОМИТА КУРЬЕР"" (""КОМИТА КУРЬЕР"") ",,19990620,2,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=990038
990061,19990215,0000980695,19981215,"Блантер Александр Филиппович (RU)
Кузьменко Николай Иванович (RU)",2,Цейтлин Александр Борисович (RU),,"Сетевой Программный Комплекс ""Домовладелец"" (СПК ""Домовладелец"")",,19990620,2,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=990061
990104,19990226,0000980741,19981229,"Макаров Сергей Васильевич (RU)
Колдина Алевтина Ивановна (RU)
Лебедев Сергей Николаевич (RU)
Простоквашин Юрий Петрович (RU)",4,"Макаров Александр Сергеевич (RU)
Макарова Елена Павловна (RU)",,Комплексная система учета платежей и платежных документов,,19990620,2,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=990104
990151,19990325,0000990028,19990128,R.E.A. (RU),1,Общество с ограниченной ответственностью Научно-производственная компания «Геоэлектроника сервис» (RU),,Система автоматизации сбора и обработки геолого-технологической информации (GeoScape),,19990620,2,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=990151
990158,19990331,0000990187,19990324,Фролов Евгений Борисович (RU),1,Фролов Евгений Борисович (RU),,,1998,19990620,2,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=990158
990169,19990406,990018,19990115,"Минжулин Виктор Михайлович (RU)
Шемякин Виктор Олегович (RU)",2,Общество с ограниченной ответственностью «Стрелец» (RU),,"Программа управления прибором приемно-контрольным охранно-пожарным ППКОП 0104061-68-1 ""Сеть"" и обеспечения связи между прибором и РС (ППКОП 0104061-68-1)",,19990920,3,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=990169
990173,19990408,0000990128,19990311,,6,Акционерное общество «Флекс Софтваре Системс» (RU),,"<br/>Автоматизированная банковская система ""Ва-Банк ПЛЮС"" версия 2.56 (АБС ""Ва-Банк ПЛЮС"" версия 2.56)",,19990920,3,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=990173
990186,19990415,0000990055,19990216,"Осипов Игорь Олегович (RU)
Сучков Григорий Анатольевич (RU)
Левочкин Владимир Ильич (RU)
Маркелов Кирилл Владимирович (RU)
Курман Дмитрий Георгиевич (RU)",5,"Акционерное общество ""Геокибернетика"" (АО ""Геокибернетика"") (RU)",,Программа построения цифровой модели рельефа «Geobuilder Matrix» (Геобилдер Матрикс),,19990920,3,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=990186
990187,19990415,0000990056,19990216,"Осипов Игорь Олегович (RU)
Сучков Григорий Анатольевич (RU)
Болибекян Павел Борисович (RU)
Маркелов Кирилл Владимирович (RU)
Трегуб Сергей Борисович (RU)",5,"Акционерное общество ""Геокибернетика"" (АО ""Геокибернетика"") (RU)",,Программа привязки растровой графики «Geobuilder Mosaic» (Геобилдер Мозаик),,19990920,3,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=990187
990188,19990415,0000990057,19990216,"Осипов Игорь Олегович (RU)
Сучков Григорий Анатольевич (RU)
Болибекян Павел Борисович (RU)
Маркелов Кирилл Владимирович (RU)
Трегуб Сергей Борисович (RU)",5,"Акционерное общество ""Геокибернетика"" (АО ""Геокибернетика"") (RU)",,Геоинформационная система «Geobuilder View» (Геобилдер Вью),,19990920,3,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=990188
990340,19990528,0000990326,19990428,,6,"Акционерное общество ""Комита"" (RU)",8(812)528-34-66,"Программа учета и контроля за оборотом подакцизной продукции ""КОМИТА АКЦИЗ"" (""КОМИТА АКЦИЗ"")",,19990920,3,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=990340
990381,19990608,0000990427,19990603,"Серый Сергей Степанович (RU)
Мозговой Виталий Иванович (RU)
Герасимов Андрей Владимирович (RU)
Олейник Олег Владимирович
 (RU)
Олейников Сергей Викторович (RU)",5,Общество с ограниченной ответственностью «ГЕОМИКС» (RU),,"""БелГИС""",1999,19990920,3,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=990381
990438,19990623,0000990312,19990422,"Алексеев Сергей Александрович (RU)
Беленков Олег Валентинович  (RU)
Железняков Андрей Владиславович  (RU)
Савочкин Вячеслав Николаевич  (RU)",4,"Беленков Олег Валентинович (RU)
Железняков Андрей Владиславович (RU)",,Инструментарий разработчика ГИС-приложений (GIS ToolKit),,19990920,3,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=990438
990470,19990702,0000990498,19990625,"Панов Александр Михайлович (RU)
Астахов Сергей Александрович (RU)
Акбердин Руслан Рашатович (RU)
Авдеева Татьяна Александровна (RU)
Галкин Владимир Сергеевич (RU)
Осипов Михаил Петрович (RU)
Свирский Алексей Ростиславович (RU)
Воеводин Алексей Валентинович (RU)
Медведев Олег Андреевич (RU)
Астахов Иван Валерьевич (RU)
Цветковский Игорь Петрович (RU)
Чучуйко Максим Сергеевич (RU)
Шинкарюк Валерий Васильевич (RU)
Гришин Сергей Александрович (RU)
Леонов Александр Витальевич (RU)
Сафонов Олег Станиславович (RU)
Демушкин Александр Сергеевич (RU)",17,Общество с ограниченной ответственностью «Новая сервисная компания» (RU),,Автоматизированная система размещения рекламы,,19991220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=990470
990479,19990706,0000990355,19990506,"Максимов Александр Иванович  (RU)
Цымбаленко Наталия Владимировна (RU)",2,Максимов Александр Иванович  (RU),нет,"Лекарственные средства, применяемые при заболеваниях желудочно-кишечного тракта",,19991220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=990479
990519,19990720,0000990489,19990622,"Святов Дмитрий Станиславович  (RU)
Гитис Сергей Абрамович (RU)",2,"Общество с ограниченной ответственностью ""РАДОМ-АйТи"" (RU)",,Геоинформационная система ObjectLand (ГИС ObjectLand),,19991220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=990519
990523,19990723,0000990538,19990709,Залогин Игорь Сергеевич (RU),1,Акционерное общество «Технологическая Компания «Центр» (RU),,"<br/>""Обработка данных учета билетов ""Русское лото"" по бригадам""",,19991220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=990523
990537,19990727,0000990413,19990527,,1,"Общество с ограниченной ответственностью ""АргусСофт"" (RU)",,"Анализ изображений ""ВидеоТесТ"" (""ВидеоТесТ""; ""VideoTesT"")",,19991020,2,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=990537
990592,19990810,0000990479,19990610,"Вишняков Александр Анатольевич (RU)
Зубков Владимир Александрович (RU)
Мякушин Михаил Юрьевич (RU)
Фредерикс Дмитрий Дмитриевич (RU)",4,"Общество с ограниченной ответственностью ""ВИНТЕЛ"" (RU)",,СпектраЛЮМ/Про,,19991220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=990592
990623,19990820,0000990491,19990622,"Коробкин Геннадий Анатольевич (RU)
Насакина Татьяна Сергеевна (RU)
Балабосов Андрей Васильевич (RU)",3,"Общество с ограниченной ответственностью ""Корпорация ""ПАРУС"" (RU)",,"Комплексная система автоматизации деятельности предприятий розничной торговли (""ПАРУС-Магазин"")",,19991220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=990623
990629,19990828,0000990505,19990629,"Дзюбанов Евгений Борисович (RU)
Достовалов Андрей Викторович (RU)
Тюков Владимир Александрович (RU)
Черкашина Светлана Леонидовна (RU)
Шуппо Владимир Петрович (RU)",5,Общество с ограниченной ответственностью МГК «ГРАНД» (RU),,Программный комплекс «ГРАНД-СМЕТА»,,19991220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=990629
